Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,22,2797,1727,927,140,331,87,739,2513,0,22
C:\Users\thede_000\Desktop\mycode,22,2797,1727,927,140,331,87,739,2513,0,22
C:\Users\thede_000\Desktop\mycode\GameplayMechanics,9,1250,750,382,70,154,38,346,1303,0,9
C:\Users\thede_000\Desktop\mycode\LevelSettings,5,678,448,263,35,69,20,161,466,0,5
C:\Users\thede_000\Desktop\mycode\MenuScripts,5,486,297,161,23,64,20,125,390,0,5
C:\Users\thede_000\Desktop\mycode\PickUps,1,284,174,91,10,29,4,81,260,0,1
