Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,55,6448,4210,2594,428,942,148,1296,5397,0,54
C:\Users\thede_000\Desktop\allcode,55,6448,4210,2594,428,942,148,1296,5397,0,54
C:\Users\thede_000\Desktop\allcode\AI,6,1157,844,571,155,171,10,142,555,0,6
C:\Users\thede_000\Desktop\allcode\CameraSystem,7,700,449,285,50,137,24,114,898,0,7
C:\Users\thede_000\Desktop\allcode\EventSystem,4,490,354,281,27,79,5,57,201,0,3
C:\Users\thede_000\Desktop\allcode\GameplayMechanics,10,1398,853,455,76,176,41,369,1493,0,10
C:\Users\thede_000\Desktop\allcode\LevelSettings,5,678,448,263,35,69,20,161,466,0,5
C:\Users\thede_000\Desktop\allcode\MenuScripts,5,486,297,161,23,64,20,125,390,0,5
C:\Users\thede_000\Desktop\allcode\PickUps,1,284,174,91,10,29,4,81,260,0,1
